restaurant_id,restaurant_name,city,cuisine,rating,cost_for_two
R0420,Biryani Kitchen 420,Bangalore,Biryani,4.04,400
R0421,Pizza Kitchen 421,Mumbai,Pizza,3.9,300
R0422,Healthy Kitchen 422,Mumbai,Healthy,4.31,400
R0423,Pizza Kitchen 423,Hyderabad,Pizza,4.31,1200
R0424,Cafe Kitchen 424,Bangalore,Cafe,4.88,1500
R0425,Healthy Kitchen 425,Kolkata,Healthy,4.41,800
R0426,Desserts Kitchen 426,Delhi,Desserts,4.42,1200
R0427,Pizza Kitchen 427,Hyderabad,Pizza,4.4,600
R0428,North Indian Kitchen 428,Pune,North Indian,3.91,300
R0429,Healthy Kitchen 429,Pune,Healthy,3.71,1500
R0430,Biryani Kitchen 430,Mumbai,Biryani,3.8,1000
R0431,Burgers Kitchen 431,Bangalore,Burgers,4.39,800
R0432,North Indian Kitchen 432,Delhi,North Indian,4.65,300
R0433,Healthy Kitchen 433,Bangalore,Healthy,4.41,1500
R0434,Street Food Kitchen 434,Delhi,Street Food,4.09,300
R0435,Street Food Kitchen 435,Hyderabad,Street Food,4.74,300
R0436,Biryani Kitchen 436,Hyderabad,Biryani,3.99,300
R0437,South Indian Kitchen 437,Bangalore,South Indian,3.75,1500
R0438,South Indian Kitchen 438,Pune,South Indian,4.24,1200
R0439,Pizza Kitchen 439,Bangalore,Pizza,4.6,400
R0440,North Indian Kitchen 440,Kolkata,North Indian,3.85,600
R0441,Chinese Kitchen 441,Hyderabad,Chinese,3.55,700
R0442,Cafe Kitchen 442,Hyderabad,Cafe,4.16,800
R0443,North Indian Kitchen 443,Delhi,North Indian,4.42,400
R0444,Cafe Kitchen 444,Hyderabad,Cafe,3.11,300
R0445,Street Food Kitchen 445,Mumbai,Street Food,4.49,300
R0446,Continental Kitchen 446,Ahmedabad,Continental,3.67,1500
R0447,Continental Kitchen 447,Bangalore,Continental,4.4,800
R0448,Biryani Kitchen 448,Mumbai,Biryani,3.45,1500
R0449,Cafe Kitchen 449,Chennai,Cafe,3.63,1200
R0450,North Indian Kitchen 450,Hyderabad,North Indian,4.37,500
R0451,Chinese Kitchen 451,Hyderabad,Chinese,4.58,300
R0452,Mughlai Kitchen 452,Ahmedabad,Mughlai,4.15,800
R0453,Chinese Kitchen 453,Mumbai,Chinese,4.99,500
R0454,Biryani Kitchen 454,Bangalore,Biryani,3.79,1000
R0455,Pizza Kitchen 455,Ahmedabad,Pizza,3.79,1500
R0456,Biryani Kitchen 456,Bangalore,Biryani,4.04,1500
R0457,Healthy Kitchen 457,Chennai,Healthy,4.03,500
R0458,Street Food Kitchen 458,Bangalore,Street Food,4.25,700
R0459,Desserts Kitchen 459,Bangalore,Desserts,3.89,1000
R0460,Desserts Kitchen 460,Mumbai,Desserts,4.35,500
R0461,Healthy Kitchen 461,Kolkata,Healthy,4.34,800
R0462,Pizza Kitchen 462,Bangalore,Pizza,4.71,600
R0463,Burgers Kitchen 463,Delhi,Burgers,3.98,800
R0464,Continental Kitchen 464,Delhi,Continental,4.27,800
R0465,Pizza Kitchen 465,Bangalore,Pizza,4.36,1200
R0466,Biryani Kitchen 466,Bangalore,Biryani,4.15,700
R0467,North Indian Kitchen 467,Kolkata,North Indian,4.08,500
R0468,North Indian Kitchen 468,Pune,North Indian,3.43,300
R0469,Mughlai Kitchen 469,Delhi,Mughlai,4.18,1000
R0470,Chinese Kitchen 470,Delhi,Chinese,4.36,1200
R0471,Healthy Kitchen 471,Bangalore,Healthy,4.13,600
R0472,North Indian Kitchen 472,Mumbai,North Indian,3.88,1200
R0473,Mughlai Kitchen 473,Delhi,Mughlai,3.56,700
R0474,Pizza Kitchen 474,Ahmedabad,Pizza,4.31,700
R0475,Mughlai Kitchen 475,Delhi,Mughlai,4.16,300
R0476,Mughlai Kitchen 476,Mumbai,Mughlai,4.64,700
R0477,Desserts Kitchen 477,Pune,Desserts,3.64,800
R0478,Continental Kitchen 478,Delhi,Continental,3.99,700
R0479,Continental Kitchen 479,Chennai,Continental,3.69,700
R0480,Healthy Kitchen 480,Chennai,Healthy,4.51,700
R0481,Burgers Kitchen 481,Bangalore,Burgers,4.58,1000
R0482,Continental Kitchen 482,Kolkata,Continental,4.82,300
R0483,Continental Kitchen 483,Mumbai,Continental,4.33,700
R0484,Pizza Kitchen 484,Bangalore,Pizza,4.43,600
R0485,Biryani Kitchen 485,Pune,Biryani,4.3,600
R0486,Biryani Kitchen 486,Chennai,Biryani,4.35,700
R0487,Continental Kitchen 487,Bangalore,Continental,4.17,1000
R0488,South Indian Kitchen 488,Mumbai,South Indian,4.37,1500
R0489,North Indian Kitchen 489,Kolkata,North Indian,4.9,400
R0490,Desserts Kitchen 490,Pune,Desserts,4.23,300
R0491,Continental Kitchen 491,Hyderabad,Continental,4.16,600
R0492,Biryani Kitchen 492,Hyderabad,Biryani,4.22,500
R0493,Desserts Kitchen 493,Hyderabad,Desserts,4.1,300
R0494,South Indian Kitchen 494,Pune,South Indian,4.24,700
R0495,Mughlai Kitchen 495,Bangalore,Mughlai,4.09,700
R0496,Continental Kitchen 496,Delhi,Continental,4.55,1200
R0497,Cafe Kitchen 497,Hyderabad,Cafe,4.52,1000
R0498,South Indian Kitchen 498,Chennai,South Indian,4.91,700
R0499,South Indian Kitchen 499,Chennai,South Indian,4.14,800
R0500,Healthy Kitchen 500,Hyderabad,Healthy,4.25,500
